crawl_date,crawl_datetime,id,name,price,url,rooms,m2,height,type,elevator,seller_phone,description,euro_per_m2,seller,seller_url
2022-04-09,2022-04-09 16:35:40,96116812,Piso en calle de los Heroes de Alcantara; 4; Centro; Valladolid,460.000,/inmueble/96116812/,4,169,Planta 2ª,exterior con ascensor,yes,983 982 904,Estupenda vivienda en pleno centro de Valladolid; compuesta por un amplio salón con una pequeña terraza y una magnifica cocina; cuatro do...,2721.89,Ker 2000 inmobiliaria,/pro/ker2000inmobiliaria/
2022-04-09,2022-04-09 16:35:40,97071530,Piso en calle de Manteria; 9; Centro; Valladolid,245.000,/inmueble/97071530/,3,111,Planta 2ª,exterior con ascensor,yes,983 280 534,Gran oportunidad de vivir en el centro en este piso de 88m2 útiles; a un paso de la Plaza España y con plaza de garaje incluida. Distribu...,2207.21,Best House Valladolid Zorrilla,/pro/best-house-valladolid-zorrilla/
2022-04-09,2022-04-09 16:35:40,93310159,Piso en Veinte de Febrero; Centro; Valladolid,300.000,/inmueble/93310159/,5,152,Planta 8ª,exterior con ascensor,yes,983 983 982,Ata Inmobiliaria les ofrece un ESPECTACULAR PISO en una de las mejores y más céntricas calles de Valladolid. El piso está bien conservado...,1973.68,Ata Inmobiliaria,/pro/ata-asesores-inmobiliarios/
2022-04-09,2022-04-09 16:35:40,94262240,Piso en plaza España; 11; Centro; Valladolid,520.000,/inmueble/94262240/,5,220,Planta 6ª,exterior con ascensor,yes,983 280 623,Exclusiva vivienda en la Plaza España en pleno centro de Valladolid. Es una vivienda con unas dimensiones únicas; ya que cuenta con 215 m...,2363.64,JBR Inmobiliaria,/pro/jbr-inmobiliaria/
2022-04-09,2022-04-09 16:35:40,96427411,Piso en Centro; Valladolid,490.000,/inmueble/96427411/,5,232,Planta 5ª,exterior con ascensor,yes,983 981 053,AMPLIA VIVIENDA EN VENTA; JUNTO PLAZA FUENTE DORADA; VALLADOLID. Situada entre la Plaza Fuente Dorada y calle Regalado; vivienda de 232 m...,2112.07,Di campo agencia inmobiliaria,/pro/di-campo/
2022-04-09,2022-04-09 16:35:40,96884747,Piso en calle Colmenares; 8; Centro; Valladolid,405.000,/inmueble/96884747/,3,220,Planta 3ª,exterior con ascensor,yes,983 280 534,Gran oportunidad de vivir en pleno centro de Valladolid; reformando a tu gusto este piso señorial de 200m2 con grandes estancias y buena...,1840.91,Best House Valladolid Zorrilla,/pro/best-house-valladolid-zorrilla/
2022-04-09,2022-04-09 16:35:40,96531529,Dúplex en calle Acera de Recoletos; 2; Centro; Valladolid,1.295.000,/inmueble/96531529/,5,272,Bajo,exterior con ascensor,yes,983 985 996,En contadas ocasiones; los profesionales inmobiliarios; tenemos la fortuna de poder vender el cielo inmobiliario de la ciudad. Hoy celebr...,4761.03,RK Cristino Torío,/pro/inmueblesyexclusivas/
2022-04-09,2022-04-09 16:35:40,97166294,Piso en Mantería; Centro; Valladolid,168.000,/inmueble/97166294/,3,104,Planta 1ª,exterior con ascensor,yes,983 981 042,Magnífico piso con ascensor; muy bien situado en una de las calles más emblemáticas de Valladolid; Mantería..Se trata de una amplia vivi...,1615.38,,
2022-04-09,2022-04-09 16:35:40,94335733,Piso en calle de Leopoldo Cano; 11; Centro; Valladolid,405.000,/inmueble/94335733/,3,107,Planta 4ª,exterior con ascensor,yes,983 282 736,En la actual calle de Leopoldo Cano; antes de LAS DAMAS; en el número 11; se levanta el edificio que será objeto de esta rehabilitación p...,3785.05,Guia Valladolid - Terravall inmobiliaria,/pro/leopoldo-cano/
2022-04-09,2022-04-09 16:35:40,96023636,Piso en Centro; Valladolid,399.000,/inmueble/96023636/,4,176,Planta 1ª,exterior con ascensor,yes,983 981 053,EXCELENTE VIVIENDA EN VENTA; CENTRO DE VALLADOLID. Cuenta con 176 m2 construidos; amplio salón de 35 m2; cocina de 22 m2; 3 baños y ademá...,2267.05,Di campo agencia inmobiliaria,/pro/di-campo/
2022-04-09,2022-04-09 16:35:40,94912651,Piso en Galatea; Centro; Valladolid,320.000,/inmueble/94912651/,6,191,Planta 3ª,exterior con ascensor,yes,983 983 982,Ata Inmobiliaria les ofrece ESPECTACULAR PISO EN CENTRO DE VALLADOLID. Todas sus habitaciones exteriores a fachada y TRES AMPLIAS TERRAZA...,1675.39,Ata Inmobiliaria,/pro/ata-asesores-inmobiliarios/
