crawl_date,crawl_datetime,id,name,price,url,rooms,m2,height,type,elevator,seller_phone,description,euro_per_m2,seller,seller_url
2022-04-09,2022-04-09 16:32:34,96831935,Piso en calle Domingo Martínez; Pº Zorrilla - Cuatro de Marzo; Valladolid,238.000,/inmueble/96831935/,4,143,Planta 1ª,exterior con ascensor,yes,983 281 954,Vivienda en calle Domingo Martínez cerca paseo de Zorrilla con cuatros dormitorios; cocina con galería; dos baños completo con bañera. Po...,1664.34,PUENTEVALL,/pro/puentevall/
2022-04-09,2022-04-09 16:32:34,96297824,Ático en paseo de Zorrilla; Pº Zorrilla - Cuatro de Marzo; Valladolid,180.000,/inmueble/96297824/,3,90,Planta 15ª,exterior con ascensor,yes,983 281 954,Ático con terraza cerrada pleno paseo de Zorrilla frente al la plaza de Toros. La vivienda tiene tres dormitorios; salón comedor; cocina...,2000.0,PUENTEVALL,/pro/puentevall/
2022-04-09,2022-04-09 16:32:34,95579104,Piso en calle del Puente Colgante; Pº Zorrilla - Cuatro de Marzo; Valladolid,135.000,/inmueble/95579104/,3,106,Planta 3ª,exterior con ascensor,yes,983 281 954,Vivienda de tres dormitorios; salón comedor; cocina amplia con despensa; baño con plato de ducha. Calefacción de gas natural. Ascensor. E...,1273.58,PUENTEVALL,/pro/puentevall/
2022-04-09,2022-04-09 16:32:34,96762157,Piso en Aurora; 14; Pº Zorrilla - Cuatro de Marzo; Valladolid,94.900,/inmueble/96762157/,3,97,Planta 2ª,exterior sin ascensor,no,983 280 623,Amplia vivienda en la Calle Aurora junto al Paseo Zorrilla en Valladolid. Es una vivienda con una distribución óptima totalmente independ...,978.35,JBR Inmobiliaria,/pro/jbr-inmobiliaria/
2022-04-09,2022-04-09 16:32:34,95649256,Piso en calle Toreros; Pº Zorrilla - Cuatro de Marzo; Valladolid,150.000,/inmueble/95649256/,5,118,Planta 1ª,exterior con ascensor,yes,913 664 192,LA CASA AGENCY vende vivienda en calle toreros junto a la plaza de toros y paseo de zorrilla; a cinco minutos andando de la estación de a...,1271.19,La Casa Agency -  Estudio Virgen del Puerto,/pro/la-casa-agency---virgen-del-puerto/
2022-04-09,2022-04-09 16:32:34,97300529,Piso en calle de la Hipica; Pº Zorrilla - Cuatro de Marzo; Valladolid,110.500,/inmueble/97300529/,3,91,Bajo,exterior con ascensor,yes,983 982 904,Vivienda en inmejorable zona; junto al Paseo de Zorrilla. Proxima a centros comerciales y supermercados. Bien distribuida; todo independi...,1214.29,Ker 2000 inmobiliaria,/pro/ker2000inmobiliaria/
2022-04-09,2022-04-09 16:32:34,97005757,Piso en calle Aurora; 14; Pº Zorrilla - Cuatro de Marzo; Valladolid,80.000,/inmueble/97005757/,3,73,Planta 1ª,exterior sin ascensor,no,983 280 534,Interesante piso en La Farola; a un paso del Paseo Zorrilla y con todos los servicios al lado. Es exterior; muy luminoso y tiene un gran...,1095.89,Best House Valladolid Zorrilla,/pro/best-house-valladolid-zorrilla/
2022-04-09,2022-04-09 16:32:34,96418957,Piso en calle Arrieta; 6; Pº Zorrilla - Cuatro de Marzo; Valladolid,150.000,/inmueble/96418957/,3,103,Planta 1ª,exterior sin ascensor,no,983 280 534,Espectacular reforma la de este piso de casi 100m2; situado en el Cuatro de Marzo. Totalmente exterior; hace esquina y está totalmente re...,1456.31,Best House Valladolid Zorrilla,/pro/best-house-valladolid-zorrilla/
2022-04-09,2022-04-09 16:32:34,97085120,Piso en paseo de Zorrilla; Pº Zorrilla - Cuatro de Marzo; Valladolid,179.900,/inmueble/97085120/,2,92,,exterior sin ascensor,no,983 282 793,La Casa Agency vende este inmueble de 92m²; ubicado en la 2ª planta sin ascensor; exterior a una de las calles más conocidas de Valladoli...,1955.43,La Casa Agency - Punto Paseo Zorrilla,/pro/lacasaagencypuntozorrilla/
2022-04-09,2022-04-09 16:32:34,93405264,Piso en calle Goya; 6; Pº Zorrilla - Cuatro de Marzo; Valladolid,131.250,/inmueble/93405264/,3,123,Planta 3ª,interior con ascensor,yes,983 982 904,Vivienda a reformar con Ascensor. Zona de la Farola. Amplia distribución; muy luminoso; orientado hacia amplio patio de manzana; soleado....,1067.07,Ker 2000 inmobiliaria,/pro/ker2000inmobiliaria/
2022-04-09,2022-04-09 16:32:34,96907558,Piso en calle Domingo Martínez; 17; Pº Zorrilla - Cuatro de Marzo; Valladolid,108.000,/inmueble/96907558/,2,61,Planta 1ª,exterior con ascensor,yes,983 280 534,Si quieres vivir en una de las mejores zonas de Valladolid; te presentamos este bonito piso totalmente reformado; al lado del Paseo de Zo...,1770.49,Best House Valladolid Zorrilla,/pro/best-house-valladolid-zorrilla/
2022-04-09,2022-04-09 16:32:34,96981402,Piso en avenida de los Reyes Catolicos; Pº Zorrilla - Cuatro de Marzo; Valladolid,179.000,/inmueble/96981402/,2,104,Planta 2ª,exterior con ascensor,yes,983 282 793,La Casa Agency vende este inmueble totalmente reformado situado en una de la bocacalles del Paseo de Zorrilla. La vivienda; ubicada en un...,1721.15,La Casa Agency - Punto Paseo Zorrilla,/pro/lacasaagencypuntozorrilla/
2022-04-09,2022-04-09 16:32:34,96220111,Piso en calle Emilia Pardo Bazán; 7; Pº Zorrilla - Cuatro de Marzo; Valladolid,117.000,/inmueble/96220111/,3,89,Planta 5ª,exterior con ascensor,yes,983 280 534,BEST HOUSE VALLADOLID ZORRILLA te ofrece en la calle Emilia Pardo Bazán; a unos metros del Paseo Zorrilla; este piso para que le pongas a...,1314.61,Best House Valladolid Zorrilla,/pro/best-house-valladolid-zorrilla/
2022-04-09,2022-04-09 16:32:34,96911656,Piso en avenida de Irún; Pº Zorrilla - Cuatro de Marzo; Valladolid,69.000,/inmueble/96911656/,2,65,Planta 2ª,interior con ascensor,yes,983 454 514,'Agencia inmobiliaria de VALLADOLID zona 4 DE MARZO - LA FAROLA - PSO. ZORRILLA - vende - piso - en AVDA. IRUN; en la zona de la FAROLA;...,1061.54,TECNOCASA Pº ZORRILLA,/pro/tecnocasa-p-zorrilla/
2022-04-09,2022-04-09 16:32:34,96735616,Piso en calle Concha Velasco; Pº Zorrilla - Cuatro de Marzo; Valladolid,149.900,/inmueble/96735616/,3,80,Planta 4ª,exterior con ascensor,yes,983 454 514,'Agencia inmobiliaria de VALLADOLID zona 4 DE MARZO - LA FAROLA - PSO. ZORRILLA - vende - piso - PSO ZORRILLA; Piso REFORMADO en cuarta p...,1873.75,TECNOCASA Pº ZORRILLA,/pro/tecnocasa-p-zorrilla/
2022-04-09,2022-04-09 16:32:34,96669116,Piso en paseo de Zorrilla; Pº Zorrilla - Cuatro de Marzo; Valladolid,99.500,/inmueble/96669116/,3,79,Planta 1ª,exterior con ascensor,yes,983 454 514,'Agencia inmobiliaria de VALLADOLID zona 4 DE MARZO - LA FAROLA - PSO. ZORRILLA - vende - piso - PSO ZORRILLA; Piso con ASCENSOR de 73 m2...,1259.49,TECNOCASA Pº ZORRILLA,/pro/tecnocasa-p-zorrilla/
2022-04-09,2022-04-09 16:32:34,95875076,Piso en calle Recoletas; Pº Zorrilla - Cuatro de Marzo; Valladolid,129.500,/inmueble/95875076/,3,74,Planta 2ª,interior con ascensor,yes,983 454 514,'Agencia inmobiliaria de VALLADOLID zona 4 DE MARZO - LA FAROLA - PSO. ZORRILLA - vende - piso - Calle Recoletas;  Piso con ASCENSOR de 7...,1750.0,TECNOCASA Pº ZORRILLA,/pro/tecnocasa-p-zorrilla/
2022-04-09,2022-04-09 16:32:34,89984972,Piso en Hospital Militar; 37; Pº Zorrilla - Cuatro de Marzo; Valladolid,280.000,/inmueble/89984972/,4,154,Planta 5ª,exterior con ascensor,yes,983 980 325,VIDEO INFORMATIVO: para verlo busque en youtube GRUPOSUR 24116..Les presento un magnífico piso en el Paseo del Hospital Militar; junto al...,1818.18,Gruposur Luxury,/pro/gruposurluxury/
2022-04-09,2022-04-09 16:32:34,90094515,Piso en calle Goya; Pº Zorrilla - Cuatro de Marzo; Valladolid,235.000,/inmueble/90094515/,4,138,Planta 9ª,exterior con ascensor,yes,910 755 869,Piso de 138 m² en el Paseo Zorrilla de Valladolid; provincia de Valladolid. La amplitud de esta vivienda proporciona a una familia con ni...,1702.9,Housell,/pro/housell/
2022-04-09,2022-04-09 16:32:34,96760458,Piso en calle del Puente Colgante; Pº Zorrilla - Cuatro de Marzo; Valladolid,185.913,/inmueble/96760458/,5,125,Planta 2ª,exterior con ascensor,yes,983 982 864,RE/MAX Olid presenta: PISO AMPLIO EN EL CENTRO DE LA CIUDAD..Inmueble de 125m construidos de los cuales 118 son útiles. Tiene una dim...,1487.3,REMAX Olid Inmobiliaria en Valladolid,/pro/remax-olid/
2022-04-09,2022-04-09 16:32:34,95644731,Piso en calle de San Ildefonso; Pº Zorrilla - Cuatro de Marzo; Valladolid,565.000,/inmueble/95644731/,4,181,Planta 3ª,exterior con ascensor,yes,983 982 864,El Paseo de Zorrilla es la principal avenida de la ciudad y su tramo inicial; el más transitado y bullicioso; donde se pueden encontrar t...,3121.55,REMAX Olid Inmobiliaria en Valladolid,/pro/remax-olid/
2022-04-09,2022-04-09 16:32:34,96530295,Piso en DONANTES DE SANGRE; 4; Pº Zorrilla - Cuatro de Marzo; Valladolid,175.000,/inmueble/96530295/,2,85,Planta 1ª,exterior con ascensor,yes,983 281 236,OPORTUNIDAD; Precioso Piso en perfecto estado nuevo; sin casi uso; de dos dormitorios y dos baños en la zona del corte ingles; enfrente d...,2058.82,Tengo Tu Llave Servicios Inmobiliarios,/pro/tengotullaveserviciosinmobiliarios/
2022-04-09,2022-04-09 16:32:34,91997047,Piso en calle Luna; 1; Pº Zorrilla - Cuatro de Marzo; Valladolid,293.000,/inmueble/91997047/,3,133,Planta 5ª,exterior con ascensor,yes,983 982 906,Venta de piso en zona Paseo Zorrilla de Valladolid; 133 m2 construidos; 3 dormitorios; baño; cocina amueblada; calefacción central; ascen...,2203.01,Metro inmobiliaria,/pro/metro-inmobiliaria/
2022-04-09,2022-04-09 16:32:34,96808866,Piso en Pº Zorrilla - Cuatro de Marzo; Valladolid,234.999,/inmueble/96808866/,4,123,Planta 2ª,exterior con ascensor,yes,910 755 869,Espacioso piso de 111 m²en Valladolid; provincia de Valladolid. La amplitud de esta vivienda proporciona a una familia con niños todo el...,1910.56,Housell,/pro/housell/
2022-04-09,2022-04-09 16:32:34,96262415,Piso en paseo de Zorrilla; Pº Zorrilla - Cuatro de Marzo; Valladolid,209.000,/inmueble/96262415/,3,104,Planta 2ª,exterior con ascensor,yes,983 982 904,Se vende piso en Edificio Las Mercedes. Consta de 3 dormitorios; 2 baños reformados. Suelos de parquet. Tiene una terraza que da a Paseo...,2009.62,Ker 2000 inmobiliaria,/pro/ker2000inmobiliaria/
2022-04-09,2022-04-09 16:32:34,96664488,Chalet adosado en Pº Zorrilla - Cuatro de Marzo; Valladolid,420.000,/inmueble/96664488/,6,236,,,,,,,,
2022-04-09,2022-04-09 16:32:34,96827812,Piso en calle Esperanto; Pº Zorrilla - Cuatro de Marzo; Valladolid,125.000,/inmueble/96827812/,3,62,Planta 2ª,exterior con ascensor,yes,910 755 869,Piso de 62 m² en Valladolid. La amplitud de esta vivienda proporciona a una familia con niños todo el espacio que necesita..Se encuentr...,2016.13,Housell,/pro/housell/
